06/18/2022 06:35:23 PM  Insufficent funds.                  $0      $0
06/18/2022 07:14:20 PM  FEED $10.00                         $0  $10.00
06/18/2022 07:14:50 PM  FEED $10.00                     $10.00  $20.00
06/18/2022 07:15:51 PM  FEED $2.00                      $20.00  $22.00
06/18/2022 07:25:28 PM  FEED $10.00                         $0  $10.00
06/18/2022 07:25:31 PM  FEED $10.00                     $10.00  $20.00
06/18/2022 07:25:39 PM  Triplemint  D4                  $20.00  $19.25
06/18/2022 07:26:23 PM  FEED $10.00                         $0  $10.00
06/18/2022 07:27:29 PM  Triplemint  D4                  $10.00   $9.25
06/18/2022 07:27:37 PM  FEED $10.00                      $9.25  $19.25
06/18/2022 07:27:50 PM  Heavy  C4                       $19.25  $17.75
06/18/2022 07:28:06 PM  DISPENSED CHANGE $17.75         $17.75   $0.00
